2016-08-03 15:23:27 status unpacked libpam-modules-bin:armhf 1.1.8-1ubuntu2
2016-08-03 15:23:27 status unpacked libpam-modules-bin:armhf 1.1.8-1ubuntu2
2016-08-03 15:23:28 install libpam-runtime:all <none> 1.1.8-1ubuntu2
2016-08-03 15:23:28 status half-installed libpam-runtime:all 1.1.8-1ubuntu2
2016-08-03 15:23:28 status unpacked libpam-runtime:all 1.1.8-1ubuntu2
2016-08-03 15:23:28 status unpacked libpam-runtime:all 1.1.8-1ubuntu2
2016-08-03 15:23:28 install libpam0g:armhf <none> 1.1.8-1ubuntu2
2016-08-03 15:23:28 status half-installed libpam0g:armhf 1.1.8-1ubuntu2
2016-08-03 15:23:28 status unpacked libpam0g:armhf 1.1.8-1ubuntu2
2016-08-03 15:23:28 status unpacked libpam0g:armhf 1.1.8-1ubuntu2
2016-08-03 15:23:28 install libpcre3:armhf <none> 1:8.31-2ubuntu2
2016-08-03 15:23:28 status half-installed libpcre3:armhf 1:8.31-2ubuntu2
2016-08-03 15:23:28 status unpacked libpcre3:armhf 1:8.31-2ubuntu2
2016-08-03 15:23:28 status unpacked libpcre3:armhf 1:8.31-2ubuntu2
2016-08-03 15:23:28 install libplymouth2:armhf <none> 0.8.8-0ubuntu17
2016-08-03 15:23:28 status half-installed libplymouth2:armhf 0.8.8-0ubuntu17
2016-08-03 15:23:28 status unpacked libplymouth2:armhf 0.8.8-0ubuntu17
2016-08-03 15:23:28 status unpacked libplymouth2:armhf 0.8.8-0ubuntu17
2016-08-03 15:23:28 install libpng12-0:armhf <none> 1.2.50-1ubuntu2
2016-08-03 15:23:28 status half-installed libpng12-0:armhf 1.2.50-1ubuntu2
2016-08-03 15:23:28 status unpacked libpng12-0:armhf 1.2.50-1ubuntu2
2016-08-03 15:23:28 status unpacked libpng12-0:armhf 1.2.50-1ubuntu2
2016-08-03 15:23:28 install libprocps3:armhf <none> 1:3.3.9-1ubuntu2
2016-08-03 15:23:28 status half-installed libprocps3:armhf 1:3.3.9-1ubuntu2
2016-08-03 15:23:28 status unpacked libprocps3:armhf 1:3.3.9-1ubuntu2
2016-08-03 15:23:28 status unpacked libprocps3:armhf 1:3.3.9-1ubuntu2
2016-08-03 15:23:28 install libselinux1:armhf <none> 2.2.2-1
2016-08-03 15:23:28 status half-installed libselinux1:armhf 2.2.2-1
2016-08-03 15:23:28 status unpacked libselinux1:armhf 2.2.2-1
2016-08-03 15:23:28 status unpacked libselinux1:armhf 2.2.2-1
2016-08-03 15:23:28 install libsemanage-common:all <none> 2.2-1
2016-08-03 15:23:28 status half-installed libsemanage-common:all 2.2-1
2016-08-03 15:23:28 status unpacked libsemanage-common:all 2.2-1
2016-08-03 15:23:28 status unpacked libsemanage-common:all 2.2-1
2016-08-03 15:23:28 install libsemanage1:armhf <none> 2.2-1
2016-08-03 15:23:28 status half-installed libsemanage1:armhf 2.2-1
